pmid,title,abstract
41257749,Transient Headache and Neurological Deficits with cerebrospinal fluid Lymphocytosis (HaNDL) syndrome in children: case report and narrative review.,"The transient Headache and Neurological Deficit with cerebrospinal fluid Lymphocytosis (HaNDL) Syndrome is a rare form of primary headache, with few cases reported in children. We report the case of a 15-year-old female with HaNDL syndrome showing paresthesia to the right side of her face and upper limbs, asthenia, dysarthria and aphasia, followed by left periorbital pulsating headache with moderate nausea, lasting about four hours. Forty-four cases of pediatric HaNDL syndrome are reported in literature (ours included), but only 25 fulfilled all diagnostic criteria according to ICHD-3. Overall, 59.1% were females. Sensory symptoms affected 71.4% of patients, followed by impaired speech (69.0%) and motor symptoms (52.4%). At CSF analysis, the mean value of white blood cells was 201.1/µl; proteinorrhachia was reported in 31 patients (70.5%). When asked, neuroimaging was negative. Symptomatic treatment was reported only in 14 patients (31.8%). HaNDL is a rare self-limiting syndrome affecting both adults and children. The etiology is unknown, but autoimmune mechanisms have been proposed. HaNDL is a diagnosis of exclusion: differential diagnoses include stroke, tumors, epilepsia, neuro-infective disorders, autoimmune encephalitis, vasculitis, hemiplegic migraine and migraine with aura. Usually, HaNDL episodes last less than 3 months; therapy is symptomatic. The diagnostic work out includes CSF analysis, neuroimaging and EEG. The treatment is symptomatic, and the course is self-limiting, usually resolving within 3 months."
41253349,[Two Patients with Lung Cancer and Trousseau Syndrome Diagnosed Using Liquid Biopsy-Long-Term Survival after Tyrosine Kinase Inhibitor Administration].,"Patients with Trousseau syndrome have been reported to have a poor prognosis when a malignant tumor is concurrently present. Moreover, biopsy can be difficult to perform due to hemorrhage during anticoagulant treatment. We present 2 cases of patients with Trousseau syndrome who were diagnosed with lung cancer using liquid biopsy and document their long-term survival following tyrosine kinase inhibitor treatment."
41253022,Post-embolisation syndrome trajectories and predictors in patients with hepatocellular carcinoma undergoing transarterial chemoembolisation: A retrospective study.,"Although post-embolisation syndrome (PES) is a well-known adverse effect, little is known about its trajectory across repeated transarterial chemoembolization (TACE) sessions. This study aimed to examine longitudinal changes in PES occurrence across repeated TACE sessions and to explore whether the predictors of PES vary depending on the treatment session. This study comprised a retrospective review of 1491 records of TACE from a single tertiary hospital. Clinical data including tumour characteristics, procedural details, and laboratory parameters were extracted. Descriptive statistics, chi-square tests, analysis of variance (ANOVA) with Scheffé post-hoc tests, and Pearson correlations analyses were performed. A generalised linear mixed model with random intercepts was applied and sensitivity analyses were conducted to test the robustness of the model. PES occurrence remained stable up to the eighth session but showed greater variability and a resurgence in frequency after the 14th TACE. Elevated post-TACE alanine aminotransferase (ALT) levels were consistently associated with increased odds of PES across all treatment phases, with a five-fold higher risk observed after the 14th session (OR = 5.17, p = .27). Overall, liver enzyme and immune-inflammatory markers such as ALT and C-reactive protein (CRP)-to-lymphocyte ratio were the primary determinants influencing PES trajectory. This study identified the longitudinal trajectory and predictors of PES across repeated TACE sessions, showing increased incidence after the 14th session and consistent associations with hepatic and immune-inflammatory markers. These findings highlight the need for phase-specific, nurse-led monitoring and hepatoprotective care to manage evolving PES risks throughout the TACE trajectory."
41249905,A case report of CLIPPERS syndrome with gait and cognitive impairment.,"Chronic Lymphocytic Inflammation with Pontine Perivascular Enhancement Responsive to Steroids (CLIPPERS) syndrome is a rare, chronic inflammatory central nervous system (CNS) disorder. It primarily involves the brainstem and cerebellum, presenting with subacute neurological symptoms. A 44-year-old male presented with progressive gait imbalance, cognitive dysfunction, and behavioral changes over six weeks. Neurological examination revealed a wide-based unsteady gait, cerebellar dysmetria, and mild cognitive deficits. Cerebrospinal fluid (CSF) analysis showed lymphocytic pleocytosis and elevated protein, while infectious and neoplastic causes were ruled out. Brain MRI demonstrated nodular and patchy lesions involving the cerebellum, brainstem, and thalamus, with characteristic pepper-like post-contrast enhancement consistent with CLIPPERS syndrome. High-dose intravenous methylprednisolone (1 g/day for 5 days) led to significant clinical improvement, including resolution of gait disturbance and cognitive deficits. Follow-up MRI showed a marked reduction in lesion size. Maintenance therapy with oral methotrexate was initiated to sustain remission. CLIPPERS syndrome should be considered in patients presenting with subacute pontocerebellar dysfunction and characteristic MRI findings. Early diagnosis and prompt corticosteroid therapy can lead to favorable outcomes. Long-term immunosuppressive treatment is essential to prevent relapse. Careful follow-up is required to monitor for recurrence and potential malignant transformation."
41227349,"SERBP1: A Multifunctional RNA-Binding Protein Linking Gene Expression, Cellular Metabolism, and Diseases.","SERBP1 (SERPINE1 mRNA-Binding Protein 1), as an RNA-binding protein with multiple biological functions, has become a research hotspot in the field of life sciences in recent years. Its unique molecular structure, such as the presence of RG/RGG repeat sequences and the absence of typical RNA-binding domains, enables it to exert diverse roles in cells. This article systematically reviews the research progress of SERBP1 in various fields including cellular stress response, tumorigenesis and development, reproductive system regulation, nervous system function, and viral infection, elaborates on its mechanism of action in detail (including newly supplemented content on cell cycle regulation, interaction with PARP1, and ribosome biogenesis), and outlines future research directions. It aims to provide a reference for in-depth understanding of the biological functions of SERBP1 and the diagnosis and treatment of related diseases."
41213757,Successful management of parvovirus B19-associated maternal mirror syndrome: A case report and review of the literature.,"Maternal mirror syndrome (MMS), or Ballantyne syndrome, is a rare complication of pregnancy characterized by maternal symptoms that parallel fetal hydrops. Though originally associated with rhesus isoimmunization, MMS can result from diverse immune and non-immune conditions, including Parvovirus B19 (PVB19) infection. This report emphasizes the importance of early recognition and management of MMS secondary to PVB19 infection. A 38-year-old G2P1 patient at 27 + 2 weeks was diagnosed with severe fetal anemia and hydrops via ultrasound and underwent intrauterine blood transfusions (IBT). The patient subsequently developed MMS, showing significant anasarca, altered liver function, and an elevated sFLT/PLGF ratio. Treatment with albumin and furosemide effectively stabilized her condition. Delivery occurred via cesarean section at 32 weeks following preterm premature rupture of membranes, with the neonate requiring NICU admission and intensive care. Timely diagnosis and treatment of MMS due to PVB19 can significantly improve maternal and neonatal outcomes in complex cases."
41211905,[Semicircular canal dehiscence syndrome: a variety of complaints and treatment difficulties].,"The syndrome of the third mobile window of the semicircular canals (or Minor's syndrome) is a degeneration of the bone wall of the upper semicircular canal, first described by L. Minor in 1998. This is a rare lesion of the inner ear, which is characterized by hearing impairment and vestibular manifestations. The presence of bone wall degeneration of the semicircular canal in 50% of patients can be detected during a standard CT scan of the temporal bone (in 1 mm increments) in the frontal (coronary) projection or in the oblique coronary projection in the PC plane. Minor syndrome occurs in only 2% of the population, however, it is possible that the disease is more common. Although the disease has been studied since 1929, consideration of new cases of this syndrome has made it possible to expand information about the clinical signs and methods of their control. Clinical manifestations are divided in to two main groups: auditory and vestibular disorders. However, cognitive impairments in this group of patients and headache associated with the syndrome have also been described. The severity of clinical signs is also very variable. The variety of clinical signs and the insufficient possibilities of their quantitative accounting limit the clinician in choosing the optimal treatment strategy, which led to the study of available materials on this disease. The purpose of this work is to investigate the most common clinical signs of the syndrome and current recommendations for the treatment of patients with this pathology. The article provides a literature review of Pub Med, Medline, Springer, eLibrary databases, as well as relevant Russian scientific articles found using Google Scholar. The relevant information obtained is combined, structured and analyzed in order to study the representation of auditory and vestibular disorders in this group of patients, and the proposed treatment algorithms for this pathology. The use of the proposed diagnostic criteria for this syndrome, the study of several uniquely formulated complaints of patients hiding vestibular and auditory disorders, verification of clinical signs using computed tomography methods will make it possible to identify the disease as quickly as possible, and the use of a stepwise algorithm for monitoring and treatment will improve the quality of life of this group of patients."
41204471,Treating steroid-dependent psoriasis from the blood-heat syndrome perspective: A case report.,"Psoriasis is a chronic, inflammatory dermatosis with a complex pathogenesis. Steroid-dependent psoriasis represents a therapeutic challenge, as conventional treatments often yield suboptimal responses and relapse. In traditional Chinese medicine (TCM), psoriasis is categorized as ""Bai Bi,"" and the blood-heat syndrome is a core pathological pattern driving inflammation and progression. However, the efficacy of TCM strategies specifically targeting this syndrome in steroid-dependent cases requires further documentation. A 68-year-old male presented with a 20-year history of recurrent, widespread erythematosquamous plaques, and severe, refractory pruritus. The condition had acutely exacerbated in the preceding week. Previous long-term therapies with topical corticosteroids and calcipotriol provided only transient improvement with frequent recurrence. The patient was diagnosed with active-phase, steroid-dependent psoriasis (Western medicine). TCM syndrome differentiation identified a pattern of blood-heat with dampness-wind. Retrospective severity assessment estimated a psoriasis area and severity index score of 16.7 and body surface area involvement of 15%, indicating severe disease. A stage-adapted TCM therapeutic strategy was employed, centered on a modified ""Buffalo Horn and Rehmannia Decoction"" (Shui Jiao Dihuang Tang). The core principle was to cool the blood, resolve toxins, and dispel dampness and wind. The prescription was dynamically adjusted across 3 clinical visits over 3 months based on symptom evolution, including dose modifications of key herbs like Buffalo Horn and the addition of agents to address pruritus, sleep disturbance, and residual hyperpigmentation. Following the 3-month intervention, complete resolution of skin lesions and elimination of pruritus were achieved. The patient maintained clinical remission without recurrence during an 11-month follow-up period, based on self-report. This case documents clinical improvement following TCM intervention in steroid-dependent psoriasis. Important limitations include the single-case design, lack of control group, retrospectively estimated psoriasis area and severity index/body surface area scores, and self-reported long-term outcomes. The observed temporal association between intervention and improvement may reflect natural disease variation, placebo effects, or other confounding factors. While this preliminary observation merits further investigation through rigorous prospective studies, the current evidence level remains limited and cautions against causal interpretation."
41201654,Trochanteric reduction osteotomy for refractory greater trochanter painful syndrome.,"Conservative treatment is considered the gold standard for managing greater trochanteric pain syndrome (GTPS), with a reported success rate of 90%. However, when conservative measures fail, surgical intervention may be necessary. Various surgical techniques have been described, but consistent results remain elusive. This study aims to present our outcomes using trochanteric reduction osteotomy (TRO) as a rescue technique for refractory GTPS cases without gluteal tears. We retrospectively evaluated all cases of GTPS refractory to conservative treatment that were managed with isolated TRO at a single center. The Visual Analogue Scale (VAS), the Western Ontario and McMaster Universities Arthritis Index (WOMAC), and the Non-Arthritic Hip Score (NAHS) were assessed preoperatively and at the end of follow-up. Additionally, patients were asked if they were satisfied with the procedure and whether they would undergo the surgery again. Complications were also recorded. A total of 11 TROs were performed in 10 patients with a minimum follow-up of 3 years (3-5.5). The series comprised 90% women, with an average age of 49 years. The mean improvement of the scores was: VAS 5 (- 2/8) points; NAHS 29.24 (- 16/52) points; WOMAC 34.59 (- 40/63) improving in all 3 categories. All patients except one were satisfied with the outcomes. Complications occurred in 5 cases (45.5%), all requiring reoperation: 3 for osteosynthesis failure due to delayed healing, 1 for symptomatic pseudarthrosis, and 1 for a subtrochanteric fracture. Despite a high complication rate, the clinical outcomes at the end of follow-up are promising, with most patients reporting satisfaction. We believe this surgical option should be considered as part of the therapeutic arsenal for GTPS cases refractory to conservative treatment. Case series with no control group."
41172437,Platypnea-orthodeoxia syndrome: echocardiography-guided percutaneous treatment.,"Platypnea-orthodeoxia syndrome, first described in 1949, is a rare clinical condition characterized by positional dyspnea and oxygen desaturation in the upright position that improves when lying down. Herein, we report the case of an 86-year-old patient who experienced episodes of dyspnea on assuming an upright position, which limited her daily activities. The patient's oxygen saturation was 82% in the standing position and 91% in the supine position. During diagnostic investigation, a patent foramen ovale was identified using transesophageal echocardiography. The patient underwent percutaneous patent foramen ovale closure with an Amplatzer device, which resulted in significant improvement in her symptoms and oxygen saturation. Diagnosis of this condition requires a high index of clinical suspicion and is confirmed when the syndrome's signs and symptoms correlate with the presence of a right-to-left interatrial shunt. It is predominantly diagnosed using echocardiography with agitated saline injection."
41165509,Functional Outcomes After Rectal ESD: A Retrospective Evaluation of Low Anterior Resection Syndrome.,"Endoscopic submucosal dissection (ESD) is increasingly preferred as an alternative to surgery and as an organ-preserving method for the treatment of rectal lesions. However, its impact on bowel function-particularly the development of low anterior resection syndrome (LARS)-remains poorly understood. This study aimed to evaluate the incidence of LARS following rectal ESD and to identify associated clinical and pathological factors. Data from 118 patients who underwent rectal ESD between January 2018 and December 2024 were retrospectively analyzed. Demographic characteristics, lesion location and size, histopathological findings, and LARS scores were recorded. All procedures were performed by the same experienced colorectal surgeon. For functional assessment, patients were contacted by telephone, and the LARS score was administered. Of the patients included in the study, 60.9% were male, with a mean age of 68.2 ± 11.0 years. In total, 93.2% of lesions were located in the rectum, while 6.8% were located in the anal canal or anorectal junction. The mean lesion size was 5.04 ± 3.19 cm. Lymphovascular invasion was detected in four patients. Minor LARS was observed in 3.4% (n = 4) of cases, and no cases of major LARS were identified. All patients with LARS had adenomas located in the lower rectum containing high-grade dysplasia. The incidence of LARS after rectal ESD is low and limited to minor symptoms. Lesion location, size, and dysplasia grade may influence LARS development. These findings support ESD as a functionally safe treatment approach. Further validation in larger, prospective studies is warranted. This study was a retrospective observational analysis."
41163611,Hoffmann Syndrome: A rare presentation of hypothyroid myopathy.,"Thyroid dysfunction is typically associated with systemic metabolic disturbances and may also present as thyroid myopathy. Understanding this relationship is crucial for recognizing its clinical manifestations and guiding appropriate management. This report describes the case of a 29-year-old male who presented with unusual swelling in his right leg along with persistent stiffness in his calf muscles. Physical examination revealed striking diffuse pseudo-hypertrophy of the calf muscles, accompanied by a positive Gowers' sign, indicating underlying muscular weakness. Laboratory investigations confirmed classic features of hypothyroidism, including markedly low triiodothyronine (T3) and thyroxine (T4) levels, elevated thyroid-stimulating hormone (TSH), and increased muscle enzyme levels. Remarkably, following the initiation of levothyroxine therapy, the patient exhibited a dramatic and progressive improvement in symptoms. The clinical picture was consistent with Hoffman syndrome, a rare manifestation of hypothyroid myopathy marked by visibly enlarged calf muscles and progressive muscle weakness. This rapid response underscores the importance of early diagnosis and timely treatment, which can lead to a full recovery even in cases with such rare presentations. Overall, this case serves as a reminder that thyroid disorders may occasionally manifest in unexpected ways, and with prompt intervention, patients can achieve significant clinical improvement."
41159261,MEPPC Syndrome: A Systematic Review and State-of-the-Art Paper.,"Multifocal ectopic Purkinje-related premature contractions syndrome presents as a rare cardiac disorder characterized by frequent multifocal ectopic ventricular beats with narrow QRS complexes, originating from various ectopic foci along the fascicular-Purkinje system. It is characterized by mutations in the <i>SCN5A</i> gene, inducing a gain-of-function in the human cardiac voltage-gated Na<sup>+</sup> channel (Na<sub>v</sub>1.5), which causes an alteration in the action potentials of the cardiomyocytes. The syndrome was initially delineated in 2012 by Laurent et al in 3 Dutch families, subsequently garnering recognition through several reported cases worldwide. Clinically, it often manifests with a familial predisposition to other arrhythmogenic cardiac diseases, alongside symptoms such as palpitations and syncope. A key diagnostic hallmark is the high daily burden of multifocal premature ventricular contractions observed on 24-hour dynamic ECG, with evidence of repetitive ventricular arrhythmias. This can potentially induce a reversible form of left ventricular dilation with systolic dysfunction, known as premature ventricular contraction-induced cardiomyopathy. Diagnosis may be challenging, requiring exclusion of the most frequent causes of ventricular arrhythmias first. The disappearance of arrhythmias during a stress test and the inefficacy of catheter ablation procedures may serve as additional elements to bolster the suspicion of multifocal ectopic Purkinje-related premature contractions syndrome. Genetic testing and electrophysiological studies are pivotal in confirming the diagnosis. Therapeutic management of this syndrome primarily involves medical therapy with class I antiarrhythmic drugs, such as flecainide and quinidine, which may reduce ventricular arrhythmias and associated symptoms. In this systematic review, our aim was to provide an exhaustive insight into the genetic basis, diagnosis, and treatment strategies for this intriguing yet relatively underexplored syndrome."
41143383,Challenges in diagnosing sticky platelet syndrome using light transmission aggregometry: a scoping review.,"Sticky Platelet Syndrome (SPS) is an inherited platelet hyperreactivity disorder associated with recurrent arterial and venous thrombosis. However, its diagnosis remains controversial due to substantial variability in light transmission aggregometry (LTA), the reference method. To map current diagnostic practices, we conducted a scoping review following PRISMA-ScR and JBI methodology, systematically searching Scopus, MEDLINE, Embase, and Google Scholar. We included 27 studies that collectively demonstrate considerable heterogeneity in patient preparation, sample handling, agonist usage, and data interpretation. These differences span pre-analytical and analytical variables such as washout periods, citrate concentration, centrifugation conditions, and threshold derivation methods. While detailed synthesis is ongoing, our preliminary observations highlight critical inconsistencies that may limit comparability across laboratories. This review underscores the need for standardized diagnostic approaches. Establishing harmonized protocols and validating them across centers could improve diagnostic accuracy and support better platelet function testing in SPS and related disorders."
